tweet_id;username;likes;retweet
1392989099246579700;prfmnews;;
1392395487961964500;prfmnews;;
1390822504831144000;prfmnews;;
1389916090545762300;prfmnews;;
1387937302396035000;prfmnews;ramdanichan;
1387638132162453500;prfmnews;;
1387619334751547400;prfmnews;;
1387612759882297300;prfmnews;;
1386877867519144000;prfmnews;;
1386170733995303000;prfmnews;;
1385407650859339800;prfmnews;;
1385128148220584000;prfmnews;;
1385097406677602300;prfmnews;;
1384715746077331500;prfmnews;;
1384704965206188000;prfmnews;;
1384374700512473000;prfmnews;;
1384345544156348400;prfmnews;;
1384336411332014000;prfmnews;;syaeful_mustofa
1384013353593442300;prfmnews;Bandung_Dinkes;
1383748940235870200;prfmnews;ANuryadin2,Herytono_Shi,b0ij0j0;syaeful_mustofa,b0ij0j0
1383703902076371000;prfmnews;SungaiCimanuk,hannyjessica,Bandung_Dinkes;
1383591666309746700;prfmnews;KangDonna1,Rezhapanji;
1382940604275912700;prfmnews;Ydaryat,HangOve45839539,cucusuryana_;HangOve45839539,onowabojet
1382921633908674600;prfmnews;;
1382690852162711600;prfmnews;;
1382690325165133800;prfmnews;;
1382578578231943200;prfmnews;MeidiMSidik,anjas_asyari1;
1382521454357586000;prfmnews;;
1382496903112269800;prfmnews;PAjaweh,khunce;
1382495982240235500;prfmnews;perdana_slamet,khunce;Icahfirmansyah
1381935155212775400;prfmnews;;
1381766490102190000;prfmnews;;
1380728858953977900;prfmnews;Biano64,exoxwao;27vinenda
1380443464085610500;prfmnews;spongedudz1,NSimbar,WidaOktavia1,Ramdhaniyopi99,dea_rukman,sogay03,dadan_permanaDP,ZakieRivaldi,FerdianaFebby,AgungCHOWibowo,ria_sofiyariya,mayaoyhyeah;Kikiiiiiiii_,dampiero10,tris_bdg,ZakieRivaldi,sanybachtiar
1379601514558201900;prfmnews;Kusumah94841006,BudiJinok,AntaSinuhadji;
1379591892619260000;prfmnews;;
1379351511642169300;prfmnews;;
1379320566256001000;prfmnews;;
1378856755598258200;prfmnews;;
1377810376738279400;prfmnews;;
1377795567984648200;prfmnews;;
1377544735980593200;prfmnews;;
1376863827870982100;prfmnews;;
1376762136395849700;prfmnews;;
1376761974135001000;prfmnews;;
1376761836863770600;prfmnews;;
1376721523004739600;prfmnews;;
1375759826475622400;prfmnews;;
1375295898641567700;prfmnews;;
1375076709809053700;prfmnews;;
1375067341059453000;prfmnews;;
1374943298696093700;prfmnews;;
1374919655739981800;prfmnews;;
1374581081203040300;prfmnews;;
1374556769033220000;prfmnews;;
1374324955043668000;prfmnews;ajoz19;
1374284113083965400;prfmnews;;
1373864146886746000;prfmnews;;
1373840473983348700;prfmnews;;
1373838673741971500;prfmnews;;
1373833108600987600;prfmnews;;
1373802031823999000;prfmnews;;
1373799328779706400;prfmnews;;
1373462600982298600;prfmnews;;
1373164301985349600;prfmnews;;
1373112844959375400;prfmnews;;
1373086506395472000;prfmnews;;
1372894775594999800;prfmnews;;
1372806866133155800;prfmnews;;
1372797123788378000;prfmnews;;
1372769781766520800;prfmnews;;
1372769498030174200;prfmnews;;
1372741691669504000;prfmnews;;
1372740605592236000;prfmnews;;
1372356932749590500;prfmnews;;
1372102008878997500;prfmnews;;
1372101743778013200;prfmnews;;
1372091780854808600;prfmnews;;
1372083951683080200;prfmnews;;
1372072982881824800;prfmnews;;
1372063939991793700;prfmnews;;
1372043785996173300;prfmnews;;
1371982471558881300;prfmnews;;
1371803106325897200;prfmnews;;
1371802212662268000;prfmnews;;
1371771680016633900;prfmnews;;
1371640009258791000;prfmnews;;
1371455110207869000;prfmnews;;
1371373084398080000;prfmnews;;
1370958465863020500;prfmnews;;
1370735221256056800;prfmnews;;
1370618679155511300;prfmnews;;
1370576652254605300;prfmnews;;
1370567658194620400;prfmnews;;
1370262948581568500;prfmnews;;
1370232449288958000;prfmnews;;
1369834826472198100;prfmnews;;
1369634295602577400;prfmnews;;
1369568398011551700;prfmnews;;
1369563490420019200;prfmnews;;
1369477469820973000;prfmnews;;
1369242985016168400;prfmnews;;
1369174162623795200;prfmnews;;
1369168489966051300;prfmnews;;
1369165847986499600;prfmnews;;
1369101045108936700;prfmnews;;
1368903886468092000;prfmnews;;
1368892943759671300;prfmnews;;
1368739765978157000;prfmnews;;
1368134842618028000;prfmnews;;
1368044858196119600;prfmnews;;
1367778129364754400;prfmnews;;
1367727254223032300;prfmnews;;
1367719498124583000;prfmnews;;
1367664698351526000;prfmnews;;
1366951466896822300;prfmnews;;
1366949706664874000;prfmnews;BaisuriYusuf;
1366926153923973000;prfmnews;;
1365917851232665600;prfmnews;;
1365906432680370200;prfmnews;;
1365861124751564800;prfmnews;;
1365579815697346600;prfmnews;;
1365575970644664300;prfmnews;;
1365566525051080700;prfmnews;;
1365484410447954000;prfmnews;;
1365474724529102800;prfmnews;;Nikoalvi,syaeful_mustofa,168udi,FahdianAG,b0ij0j0
1365269283073187800;prfmnews;;
1365184473235525600;prfmnews;;
1365179629040857000;prfmnews;;
1365130107086540800;prfmnews;;
1365116162439147500;prfmnews;Biano64;epan89
1365111803152191500;prfmnews;feeIthforce;
1364911012562919400;prfmnews;;
1364773323587022800;prfmnews;b0ij0j0;syaeful_mustofa,b0ij0j0
1364569736374194200;prfmnews;Biano64;
1364560579151548400;prfmnews;;
1364507687615033300;prfmnews;Biano64;
1364507597064138800;prfmnews;Biano64;
1364220263131345000;prfmnews;Biano64,IwanIwancoy5200;baleendah_info
