tweet_id;username;likes;retweet
1292688168458678300;aryans_karo;;
1349788806874972200;t4m3nx;;
1347783251759296500;t4m3nx;;
1355569982160072700;margo_siswadi;;
1355568395056369700;margo_siswadi;;
1350863354584203300;margo_siswadi;;
1349774856854806500;margo_siswadi;;
1346513011100377000;margo_siswadi;;
1343970854724464600;margo_siswadi;;
1342020824459432000;margo_siswadi;;
1342019760909811700;margo_siswadi;;
1339352638517780500;margo_siswadi;;
1339278286757621800;margo_siswadi;;
1339258496932450300;margo_siswadi;;
1339247985033584600;margo_siswadi;;
1338917703059304400;margo_siswadi;;
1337434732594745300;margo_siswadi;Bp_HasbiJunaedi,AlyChafizdin;Yul_Timoti,RadioElshinta
1337213351433130000;margo_siswadi;sitaplana;
1336509767225757700;margo_siswadi;;
1324983202470011000;margo_siswadi;;
1320782794713297000;margo_siswadi;RASUL__MUHAMMAD;RadioElshinta
1320080172016529400;margo_siswadi;;
1319333592263131100;margo_siswadi;Fahmihidayati3,hasseyyo;munfarikhaaas,RadioElshinta
1318245749969186800;margo_siswadi;;RadioElshinta
1315870016672198700;margo_siswadi;;
1315744182078591000;margo_siswadi;;
1315733692304691200;margo_siswadi;;
1312797440328622000;margo_siswadi;;
1310168568386842600;margo_siswadi;DokterAri;
1310108933185446000;margo_siswadi;;lukisaepul
1310107671358398500;margo_siswadi;;
1294635675317203000;margo_siswadi;;
1293251116637929500;margo_siswadi;;
1293244518716731400;margo_siswadi;;
1289882753601683500;margo_siswadi;Ronnie_Rusli,NgebutMautC84,darmajasa,SobariSobar1,abanglurus;
1347772793685901300;mieerra2015;AdhiPrYo,dr_koko28,pink161607;
1346366466875015200;mieerra2015;;
1352811878402035700;kopi_laut;;
1351163925971267600;kopi_laut;;
1351161001916424200;kopi_laut;adalahiu;
1351160420804022300;kopi_laut;UnaSaladin,DianaRos25,JuliusSt3,mahrizal,xcorke,Abdul47319206;
1349957595650375700;kopi_laut;pendekar58;
1349884477841895400;kopi_laut;;
1349565228036485000;kopi_laut;;
1349342622016442400;kopi_laut;caplebak;
1349326107581956000;kopi_laut;hujanpanass,Winardigumilan1,AnandaMerindu,RantingPinus,RakjatDjelataaa,Muly86054800;kuninggemilang,fpoemsh,RakjatDjelataaa
1349322038352121900;kopi_laut;;eLganufa
1349301900550672400;kopi_laut;caplebak;
1349298255750783000;kopi_laut;SiBokongBesi;
1349282166442659800;kopi_laut;Lucky_inside;
1349280446866104300;kopi_laut;;
1349003230043394000;kopi_laut;;
1349002017713262600;kopi_laut;;
1348950341308436500;kopi_laut;caplebak,MustikaHidayat5,mahsussyarief1,KavindraOemar;
