tweet_id;username;likes;retweet
1349180523155841000;prfmnews;MamiY62,168udi,ipeysuhara13,36Iws;168udi
1349177495963136000;prfmnews;168udi;gelarlarge
1349156276069036000;prfmnews;Biano64,HADIATSUPRIATN2;
1349146729543684000;prfmnews;Gunawan_SE2230,Biano64,ZakieRivaldi,rollingeyesxio;ZakieRivaldi
1348568709095329800;prfmnews;;
1348562022124851200;prfmnews;isanniggah;chorzkie
1348543944993382400;prfmnews;megagandew;
1347852871635636200;prfmnews;kakiikakio;HusenRR
1347538863380525000;prfmnews;Igo_winata;
1347487220156928000;prfmnews;RKmiddleeast;
1347459712246157300;prfmnews;alvinna23;gundulmucukk,uwaegy
1347144710960210000;prfmnews;si_bony;
1347122648916979700;prfmnews;;yz12793,oktdw
1347090697384431600;prfmnews;barkode46,CrewErvin;barkode46
1347072110791856000;prfmnews;;suryawanhendri
1347033129534455800;prfmnews;;bondeng11
1346775013580365800;prfmnews;radityarvan;zamnurz
1346726496765821000;prfmnews;sitiatauemma;GiazkydewiRatih
1346714419204526000;prfmnews;barkode46,ramskeyz,tris_bdg,apifh1;tris_bdg
1346708992882401300;prfmnews;Kec_Cidadap;
1346682070597136400;prfmnews;;aang_ahan
1346671916862513200;prfmnews;Kevinandre72,iffaaa345,Trie_kaka,indri_wjy83;RickyNSas,chandrachevz10,titiktitikblank,stereogenic
1346671873740873700;prfmnews;;
1346661247584854000;prfmnews;Biano64;
1346637669015584800;prfmnews;ANDRIHMW,Derajatm,exoxwao,rahadianruviant;anggifatmah
1346472173725106200;prfmnews;;BagusRTNews
1346468588249464800;prfmnews;;barkode46,yudayuds
1346437834689761300;prfmnews;r_firmansyahhh,rollingeyesxio;giaontweet
1346394844869009400;prfmnews;;sumberjaya2014
1346393385100169200;prfmnews;;adinary
1346352750318166000;prfmnews;;
1346331351029403600;prfmnews;Biano64;
1346083578686308400;prfmnews;;
1345973451849273300;prfmnews;iffaaa345;
1345742259136839700;prfmnews;mlsmkrnm,istilageni,NL_nurdianii;duddydudung
1345660137109741600;prfmnews;Gilang79,Dmrmks,me_Merla;raflychalil
1345649625106063400;prfmnews;;zamnurz
1345163440977895400;prfmnews;icecoldhazelnut,gani0506,rs_restu,liem_jaya,Wizz124,eddie_rahper,grodokers,luqman78,tantann_27,dheniema,brizkyr,lupilope,indraL_58,kodent,Tru3Love1,MuhammadAab7,yusups92,kakarindingan,OtongCokro,wulansoetarso;fynjoana,bang_obet_,baleendah_info,Tru3Love1,dheniema,luqman78,FarizMohammed,Lindajaasiel,arifnurdintoA,sayasiapahayoh,Noona26949234,bizanthy,megyptprtm,suryawanhendri,Iisyntii
1344982882264092700;prfmnews;aademsari,Didit_Benk,novablyze,apaadanyaweh,radiretro,Noona26949234,arsyanitaa,heryadihari,movicgu,TqPansy,sehaluitu;dzivara,Noona26949234,mfiyari,heryadihari,suryawanhendri,kebakar45,bondeng11
1344919267209224200;prfmnews;;anggifatmah
1344886567098204200;prfmnews;JadiSultra;
1344831701625708500;prfmnews;Biano64,rollingeyesxio;mfiyari
1344612905027735600;prfmnews;estananto,AbaPupung;
1344531082272620500;prfmnews;ikiaracondong_,cyrawords;
1344121910934696000;prfmnews;;
1344116819800387600;prfmnews;;
1343905099219812400;prfmnews;ZakieRivaldi,Muhamma45665778;anggifatmah,ZakieRivaldi
1343902459702378500;prfmnews;bolinkzfmark,emi_apete,yayan_hellboy;
1343755558973702100;prfmnews;;dudepanai
1343511882825564200;prfmnews;te_ye_a_es;tualang,bondeng11
1342462362305978400;prfmnews;;
1341640933217951700;prfmnews;Biano64;
1341569372653985800;prfmnews;irwan52763721,mtaufikmirzan;mtaufikmirzan
1341367302852210700;prfmnews;;
1340534800487071700;prfmnews;;zamnurz
1339921393333334000;prfmnews;JokoNug14050979,softliner242,isanniggah;baleendah_info,titiktitikblank
1339848266993655800;prfmnews;ARNOLD211D,Rendikalanipra2,MamiY62;BagusRTNews
1339828322864230400;prfmnews;;
1339581983555371000;prfmnews;;
1339560868418228200;prfmnews;;
1339447177454600200;prfmnews;;
1339383066486161400;prfmnews;;
1339377591539515400;prfmnews;;fasya_fakhrusy
1339374280308449300;prfmnews;ds081198sg_move;
1339215409099128800;prfmnews;;infojatinangor
1339213824612737000;prfmnews;;ekirmdn
1339124137529204700;prfmnews;rickdeniro,JoeDynto,dicky_sukmahadi,novablyze,aganMaMaN;
1339112851235991600;prfmnews;tantra_eko,okituratula,TanpaNam48,sukauke,supriyadi3i,nardy_nt,duh15585108,hizrinaw,giaontweet,chandrakrisnadi,GoldenDragon89,terkinibandungg,hanysefitriani,AndyIra21942068,agusgusano,eka_harijanto,Ian1981Doanx,Vickry85660270,agiLgieL,cepwiditea,iirfaan24,softliner242,Awang24901008,sindyagustin61,citanabilla,megaprawardani,mutipung,ghnmry_,Bagus_orang,kang_uca,fristlye23010,echibot,tisnabastara,fitrinrlhakim,a_552pvhi,PAjaweh,rizckykurnia94;yosianayo,rully2020PhD,giaontweet,kikilgabut,duddydudung,innuuuuuuu,silvipii,2omeo,ZakieRivaldi,rinoxrino,agiLgieL,dadankartiwa,widyanurr,dani__putra,fristlye23010,yoszalvarez,triitriana,danistwan,andifaisals,rezamalee,hadianakurnia,ardanaf
1339095178351526000;prfmnews;;
1339001638439153700;prfmnews;ramyeonuwuh,Biano64,RKmiddleeast;RKmiddleeast
1338704027928809500;prfmnews;;
1338499345050583000;prfmnews;IndraVexed,BangGodham;ttorroo,BangGodham
1338395355738591200;prfmnews;;
1338058430515277800;prfmnews;;
1338058318359642000;prfmnews;luqman78,DonjuanX8,meowpuff8699;
1337996269072035800;prfmnews;;
1337977110405628000;prfmnews;luttfifatah,leadarmayani,ashepmillan,raihanalipp,Luthfi409,rizalferdians11,Ujocs;dwiciptobn
1337776268771614700;prfmnews;suwar_sono,UsmanAsgar5,ZakieRivaldi,Awang24901008;ZakieRivaldi,ReniIryani
1337768601558761500;prfmnews;suwar_sono;
1337724015557763000;prfmnews;;BagusRTNews
1336947574524153900;prfmnews;mariyanti_ine,BangHarun13,giaontweet,hannyjessica,rooodssurya,Ramdhaniyopi99;BangHarun13,giaontweet,indra_comrades
1336934931671367700;prfmnews;MamiY62,MIT_PSbg,brizkyr;
1336575786518601700;prfmnews;YaniHerlina6,kichakicho;BagusRTNews
1336323648735481900;prfmnews;;99Ufk
1336182009312342000;prfmnews;RudiKur96323811;
1336151521851891700;prfmnews;;
1336126978886234000;prfmnews;;
1335949304859566000;prfmnews;Asw27262735,Biano64,RudiKur96323811;
1335864015289864200;prfmnews;bapapeok;
1335855285492011000;prfmnews;ZakieRivaldi;ZakieRivaldi
1335820856098836500;prfmnews;ejahaha;
1335803620848070700;prfmnews;MamiY62,ZakieRivaldi,affendi90072188;ZakieRivaldi
1335776091118583800;prfmnews;JoeDynto;
1335765650472542200;prfmnews;dkimy0102,MinnoSutrisno;
1335764440260649000;prfmnews;siel88;
1335601852310716400;prfmnews;MamiY62,nirwikaraa,Biano64,PAjaweh,RpaiBandung,siel88,ClickBandung,hannyjessica,cakuecokelat,YurisCaneta,_Gagan_Algarni_;yebe____,itsitin
1335447428988747800;prfmnews;JoeDynto;
1335186825791426600;prfmnews;Laeparbada;
1335148824063447000;prfmnews;AlbertMP2068,Rendikalanipra2;
1334773097178693600;prfmnews;Igo_winata,dwiindra2210,netiteanet,cepirfan,ria_sofiyariya,AchmadWiria,istilageni,Erfinudin,sandingbayu,Kameeenrider;giaontweet,Igo_winata
1334404014146916400;prfmnews;deniareef,drasidin;
1334018962665873400;prfmnews;53P_1924,rohendi74,Ferry_Wachjudi,juraontherun,istilageni,NcuhiRiwo,wazengoki,Ifungs,Artemizz_;syahhid,ugahaaa,bude_srie,alanesia,imankurniawan,deffender13,Artemizz_
1333924856774099000;prfmnews;DadanHam1823;
1333587532387217400;prfmnews;;
1333416201037385700;prfmnews;HADIATSUPRIATN2;
1331926950244278300;prfmnews;TazkyaAgustin;pawerpuffgurl
1331397834994712600;prfmnews;;
1330817558438580200;prfmnews;septiadhiw;
1329965950569914400;prfmnews;;oktdw
1329445186942988300;prfmnews;bagaas_hermawan,MohTholib6,FaisalZaini0411;bagaas_hermawan,FaisalZaini0411
1329378912296599600;prfmnews;;
1329310443102380000;prfmnews;drasidin;
1329057338934771700;prfmnews;rosvalino,ctoohan,HADIATSUPRIATN2,drasidin,Awang24901008;
1328675468170514400;prfmnews;PAjaweh;
1328128035908767700;prfmnews;;
1327240619379490800;prfmnews;mtaufikmJKT48;mtaufikmJKT48,BangHarun13,adinary
1326797299289190400;prfmnews;esvite__,LellyAstrilia;esvite__
1325806851250774000;prfmnews;IwanIwancoy5200,AchmadWiria,HADIATSUPRIATN2,firmanmaliki3;
1325048552167415800;prfmnews;;
1324243184415768600;prfmnews;RudiKur96323811;khoceng_gurun
1323546186574225400;prfmnews;miebasoka1,danielbekok,PAjaweh,YsfRsha29,tifanyalya,myalterna,Awang24901008;venysilvia,thanksindomie,ketanminis,baleendah_info
1321837210606334000;prfmnews;Callme_bunn;
1321820201785073700;prfmnews;;
1320753470324887600;prfmnews;DodoyMang,BangHarun13,Biano64,suryawanhendri;BangHarun13
1320246288156246000;prfmnews;;baleendah_info,dedihermanto813,Harry_Soedyanto,alanesia
1320200210253897700;prfmnews;Elis_irmawati_,Dhiean_Zya,BangHarun13,adul_abid,AomCakrapura,zimbabwedriver,hadisolehudin;AkunmuDek,BangHarun13,aabagoy,BagusRTNews,Arif_Bijksn
1320025423292424200;prfmnews;rachmat_bon279;
1320008241196101600;prfmnews;Senris1,kangrefi,Fajarsidik6751,wikuik,emi_apete,BangHarun13,Biano64,heryancr,naufal17aziz,deynarazy,nierw4n4,miftah_abdi,nurjaman26,Callme_bunn,whatever2710;BangHarun13,naufal17aziz,Fariizdwiii,RickyNSas
1319952783789887500;prfmnews;ejahaha,BangHarun13,HADIATSUPRIATN2,RadenBagusElang;BangHarun13
1319891246177943600;prfmnews;IndriGambung,feriferrdiana;sanybachtiar
1319604718327394300;prfmnews;;
1319519072984297500;prfmnews;BangHarun13,ardiardianto;BangHarun13
1319503578071875600;prfmnews;BangHarun13;BangHarun13
1319448492952055800;prfmnews;;
1319440234392608800;prfmnews;BangHarun13,C5IrnaSari;BangHarun13
1319188488185499600;prfmnews;;
1318812076031176700;prfmnews;;
1318730629291204600;prfmnews;ArifRid76547484,ellaajah8,itsitin,BangHarun13,iffaaa345,Kusumah94841006,asungkono,C5IrnaSari,NoorRafialdhi,HADIATSUPRIATN2,yooooots,Awang24901008;BangHarun13,baleendah_info,mfiyari,Harry_Soedyanto
1318709738826211300;prfmnews;ademulz;mfiyari
1318157128419266600;prfmnews;BangHarun13,ohnanaohrara;BangHarun13
1318135020746285000;prfmnews;BangHarun13;BangHarun13
1318099798872920000;prfmnews;;
1318089183248879600;prfmnews;BangHarun13,PKM_Pasundan;DoniOdonay,BangHarun13,itsitin
1318083986632044500;prfmnews;;
1318060303544848400;prfmnews;BangHarun13,AndyIra21942068;BangHarun13
1317357935937253400;prfmnews;;
1317341505573417000;prfmnews;BangHarun13,Callme_bunn;BangHarun13
1317326540997238800;prfmnews;BangHarun13,ZakieRivaldi;BangHarun13,ZakieRivaldi
1316984187417776000;prfmnews;;
1316699412496699400;prfmnews;BangHarun13,Marine_ramdhani;BangHarun13
1316576161225306000;prfmnews;;miftah_erisman
1314839039606833200;prfmnews;BangHarun13;BangHarun13
1314796571221921800;prfmnews;;
1314226443577032700;prfmnews;BangHarun13,oporblackpepper,sandingbayu,mlsmkrnm,drasidin;BangHarun13,oporblackpepper,dezoelp,titiktitikblank,rezza_gozlag
1311518193727406000;prfmnews;;
1311267974116864000;prfmnews;Cepdedenk;
1308318330038616000;prfmnews;luqman78,Sinovac_Pearson;ARNOLD211D,luqman78
1304327249739436000;prfmnews;;ARNOLD211D,Ontaaa,nana9apple
1303849494765731800;prfmnews;;
1303141456249462800;prfmnews;Biano64;
1300627481150369800;prfmnews;;alienveben_r
1299287624172019700;prfmnews;chorzkie,yudiirahman,drasidin;sirartesa
1298190364235325400;prfmnews;ginson505;
1298158418717364200;prfmnews;;
1298157032256581600;prfmnews;anakdisco80;ebithEBITH
1298082045629878300;prfmnews;;
1297829772999835600;prfmnews;kang_karung,ZakieRivaldi;kang_karung,ZakieRivaldi,PAjaweh
1296776245535862800;prfmnews;tamabwito,unni_unz,Sulistiawat_Tri,ZakieRivaldi,dkimy0102,HADIATSUPRIATN2,Hendry461;ARNOLD211D,Hendry461,ZakieRivaldi
1295205301331693600;prfmnews;BroadcastDOTid,Biano64,Tommy39702748;BroadcastDOTid
1294303514072461300;prfmnews;CrewErvin,giaontweet,nuhaamasyhur;
1294243113842569200;prfmnews;penguinlittleee;fedifag,baleendah_info
1293199379533193200;prfmnews;MamiY62,IwanIwancoy5200,ZakieRivaldi;ZakieRivaldi
1293178090332369000;prfmnews;Biano64;
1293143702345457700;prfmnews;Biano64,1234aih,raegspatter;ARNOLD211D
1293086005227004000;prfmnews;eskarahadyan,ZakieRivaldi;ZakieRivaldi
1293077230990442500;prfmnews;bung_piere,ahsabandung;Afifpujia
